Step,LFSR1_State,LFSR1_Output,LFSR2_State,LFSR2_Output,Combined_Output
0,00000000000000000101101001010100,0,00000000000000000110110101010101,1,1
1,00000000000000000010110100101010,0,00000000000000000011111010101010,1,1
2,00000000000000000001011010010101,0,00000000000000000001111101010101,0,0
3,00000000000000000000101101001010,0,00000000000000000000111110101010,1,1
4,00000000000000000000010110100101,0,00000000000000000000011111010101,0,0
5,00000000000000000000001011010010,0,00000000000000000000101111101010,1,1
6,00000000000000001000000101101001,1,00000000000000000000010111110101,0,1
7,00000000000000001100000010110100,1,00000000000000000000101011111010,1,0
8,00000000000000001110000001011010,1,00000000000000000000010101111101,0,1
9,00000000000000000111000000101101,0,00000000000000000000101010111110,1,1
10,00000000000000001011100000010110,1,00000000000000000000010101011111,0,1
11,00000000000000000101110000001011,0,00000000000000000000101010101111,1,1
12,00000000000000001010111000000101,1,00000000000000000000110101010111,1,0
13,00000000000000001101011100000010,1,00000000000000000000111010101011,1,0
14,00000000000000000110101110000001,0,00000000000000000000111101010101,1,1
15,00000000000000000011010111000000,0,00000000000000000000111110101010,1,1
16,00000000000000001001101011100000,1,00000000000000000000011111010101,0,1
17,00000000000000001100110101110000,1,00000000000000000000101111101010,1,0
18,00000000000000000110011010111000,0,00000000000000000000010111110101,0,0
19,00000000000000001011001101011100,1,00000000000000000000101011111010,1,0
20,00000000000000000101100110101110,0,00000000000000000000010101111101,0,0
21,00000000000000001010110011010111,1,00000000000000000000101010111110,1,0
22,00000000000000000101011001101011,0,00000000000000000000010101011111,0,0
23,00000000000000001010101100110101,1,00000000000000000000101010101111,1,0
24,00000000000000001101010110011010,1,00000000000000000000110101010111,1,0
25,00000000000000001110101011001101,1,00000000000000000000111010101011,1,0
26,00000000000000000111010101100110,0,00000000000000000000111101010101,1,1
27,00000000000000000011101010110011,0,00000000000000000000111110101010,1,1
28,00000000000000000001110101011001,0,00000000000000000000011111010101,0,0
29,00000000000000001000111010101100,1,00000000000000000000101111101010,1,0
30,00000000000000001100011101010110,1,00000000000000000000010111110101,0,1
31,00000000000000000110001110101011,0,00000000000000000000101011111010,1,1
32,00000000000000000011000111010101,0,00000000000000000000010101111101,0,0
33,00000000000000000001100011101010,0,00000000000000000000101010111110,1,1
34,00000000000000001000110001110101,1,00000000000000000000010101011111,0,1
35,00000000000000001100011000111010,1,00000000000000000000101010101111,1,0
36,00000000000000000110001100011101,0,00000000000000000000110101010111,1,1
37,00000000000000001011000110001110,1,00000000000000000000111010101011,1,0
38,00000000000000001101100011000111,1,00000000000000000000111101010101,1,0
39,00000000000000000110110001100011,0,00000000000000000000111110101010,1,1
40,00000000000000001011011000110001,1,00000000000000000000011111010101,0,1
41,00000000000000001101101100011000,1,00000000000000000000101111101010,1,0
42,00000000000000000110110110001100,0,00000000000000000000010111110101,0,0
43,00000000000000001011011011000110,1,00000000000000000000101011111010,1,0
44,00000000000000001101101101100011,1,00000000000000000000010101111101,0,1
45,00000000000000001110110110110001,1,00000000000000000000101010111110,1,0
46,00000000000000000111011011011000,0,00000000000000000000010101011111,0,0
47,00000000000000001011101101101100,1,00000000000000000000101010101111,1,0
48,00000000000000000101110110110110,0,00000000000000000000110101010111,1,1
49,00000000000000001010111011011011,1,00000000000000000000111010101011,1,0
50,00000000000000000101011101101101,0,00000000000000000000111101010101,1,1
51,00000000000000001010101110110110,1,00000000000000000000111110101010,1,0
52,00000000000000001101010111011011,1,00000000000000000000011111010101,0,1
53,00000000000000000110101011101101,0,00000000000000000000101111101010,1,1
54,00000000000000000011010101110110,0,00000000000000000000010111110101,0,0
55,00000000000000000001101010111011,0,00000000000000000000101011111010,1,1
56,00000000000000000000110101011101,0,00000000000000000000010101111101,0,0
57,00000000000000001000011010101110,1,00000000000000000000101010111110,1,0
58,00000000000000001100001101010111,1,00000000000000000000010101011111,0,1
59,00000000000000001110000110101011,1,00000000000000000000101010101111,1,0
60,00000000000000000111000011010101,0,00000000000000000000110101010111,1,1
61,00000000000000000011100001101010,0,00000000000000000000111010101011,1,1
62,00000000000000000001110000110101,0,00000000000000000000111101010101,1,1
63,00000000000000001000111000011010,1,00000000000000000000111110101010,1,0
64,00000000000000000100011100001101,0,00000000000000000000011111010101,0,0
65,00000000000000001010001110000110,1,00000000000000000000101111101010,1,0
66,00000000000000001101000111000011,1,00000000000000000000010111110101,0,1
67,00000000000000000110100011100001,0,00000000000000000000101011111010,1,1
68,00000000000000000011010001110000,0,00000000000000000000010101111101,0,0
69,00000000000000000001101000111000,0,00000000000000000000101010111110,1,1
70,00000000000000000000110100011100,0,00000000000000000000010101011111,0,0
71,00000000000000000000011010001110,0,00000000000000000000101010101111,1,1
72,00000000000000001000001101000111,1,00000000000000000000110101010111,1,0
73,00000000000000001100000110100011,1,00000000000000000000111010101011,1,0
74,00000000000000000110000011010001,0,00000000000000000000111101010101,1,1
75,00000000000000000011000001101000,0,00000000000000000000111110101010,1,1
76,00000000000000000001100000110100,0,00000000000000000000011111010101,0,0
77,00000000000000000000110000011010,0,00000000000000000000101111101010,1,1
78,00000000000000000000011000001101,0,00000000000000000000010111110101,0,0
79,00000000000000001000001100000110,1,00000000000000000000101011111010,1,0
80,00000000000000000100000110000011,0,00000000000000000000010101111101,0,0
81,00000000000000000010000011000001,0,00000000000000000000101010111110,1,1
82,00000000000000000001000001100000,0,00000000000000000000010101011111,0,0
83,00000000000000000000100000110000,0,00000000000000000000101010101111,1,1
84,00000000000000000000010000011000,0,00000000000000000000110101010111,1,1
85,00000000000000000000001000001100,0,00000000000000000000111010101011,1,1
86,00000000000000000000000100000110,0,00000000000000000000111101010101,1,1
87,00000000000000000000000010000011,0,00000000000000000000111110101010,1,1
88,00000000000000000000000001000001,0,00000000000000000000011111010101,0,0
89,00000000000000001000000000100000,1,00000000000000000000101111101010,1,0
90,00000000000000000100000000010000,0,00000000000000000000010111110101,0,0
91,00000000000000000010000000001000,0,00000000000000000000101011111010,1,1
92,00000000000000000001000000000100,0,00000000000000000000010101111101,0,0
93,00000000000000000000100000000010,0,00000000000000000000101010111110,1,1
94,00000000000000000000010000000001,0,00000000000000000000010101011111,0,0
95,00000000000000001000001000000000,1,00000000000000000000101010101111,1,0
96,00000000000000000100000100000000,0,00000000000000000000110101010111,1,1
97,00000000000000000010000010000000,0,00000000000000000000111010101011,1,1
98,00000000000000001001000001000000,1,00000000000000000000111101010101,1,0
99,00000000000000000100100000100000,0,00000000000000000000111110101010,1,1
100,00000000000000000010010000010000,0,00000000000000000000011111010101,0,0
101,00000000000000000001001000001000,0,00000000000000000000101111101010,1,1
102,00000000000000000000100100000100,0,00000000000000000000010111110101,0,0
103,00000000000000000000010010000010,0,00000000000000000000101011111010,1,1
104,00000000000000001000001001000001,1,00000000000000000000010101111101,0,1
105,00000000000000001100000100100000,1,00000000000000000000101010111110,1,0
106,00000000000000000110000010010000,0,00000000000000000000010101011111,0,0
107,00000000000000001011000001001000,1,00000000000000000000101010101111,1,0
108,00000000000000000101100000100100,0,00000000000000000000110101010111,1,1
109,00000000000000000010110000010010,0,00000000000000000000111010101011,1,1
110,00000000000000000001011000001001,0,00000000000000000000111101010101,1,1
111,00000000000000001000101100000100,1,00000000000000000000111110101010,1,0
112,00000000000000000100010110000010,0,00000000000000000000011111010101,0,0
113,00000000000000001010001011000001,1,00000000000000000000101111101010,1,0
114,00000000000000000101000101100000,0,00000000000000000000010111110101,0,0
115,00000000000000000010100010110000,0,00000000000000000000101011111010,1,1
116,00000000000000001001010001011000,1,00000000000000000000010101111101,0,1
117,00000000000000000100101000101100,0,00000000000000000000101010111110,1,1
118,00000000000000000010010100010110,0,00000000000000000000010101011111,0,0
119,00000000000000000001001010001011,0,00000000000000000000101010101111,1,1
